video_id,account,publish_date,publish_time,topic_category,topic_angle,format,hook_text,hook_model,duration_seconds,word_count,views,retention_5s,completion_rate,like_count,comment_count,share_count,favorite_count,like_rate,share_rate,performance_tier,pillars_used,is_repeat,has_script,video_url,video_title,is_hidden,notes
224,抖音官号,2025-05-30,17:03,权益加班,在德国做护士8年了离,口播,在德国做护士8年了 离家很远 工资中等水平 我为什么不回国呢 2017年 我只身一人来到德国做护士 签的是永久性合同,C_共情痛点,54,261,1219407,60.09,27.05,2821,167,676,,0.23,0.06,S,"P11,P19,P20,P23",FALSE,TRUE,,,否,
225,抖音官号,2025-05-31,16:53,休假病假,自从来了德国做护士就,口播,自从来了德国做护士 就连排班都能许愿了 每个月月中 护士长会把排班表张贴出来 让我们根据自己的休假计划,其他,52,292,289362,42.66,16.14,651,82,874,,0.22,0.3,A,P23,FALSE,TRUE,,,否,
226,抖音官号,2025-06-03,15:38,权益加班,来了德国才发现医院还,口播,来了德国才发现 医院还可以这样对待护士 一互换比要求来德国这么久 我还没见过 患者量超过应收范围的 因为,其他,81,433,23719,62.61,21.55,130,10,37,,0.55,0.16,C,,FALSE,TRUE,,,否,
227,抖音官号,2025-06-04,16:30,休假病假,护士只要拿到证简直不,口播,护士只要拿到证 简直不要太抢手 我是在德国都塞做护士的 米亚 15年国内中专护理专业毕业 毕业后就直接去学习了德语,C_共情痛点,56,296,32137,41.45,18.56,150,28,66,,0.47,0.21,C,"P4,P20,P22,P25,P28",FALSE,TRUE,,,否,
228,抖音官号,2025-06-05,18:46,权益加班,我在德国做护士7年多,口播,我在德国做护士7年多了 我们科室一共是28个病人 21个固定护士 每个班次都有互换比要求 所以啊在这基础上,其他,38,189,12165,34.36,15.33,84,7,17,,0.69,0.14,C,"P2,P7,P23",FALSE,TRUE,,,否,
229,抖音官号,2025-06-06,17:58,其他,国外医院的护士很少遇,口播,国外医院的护士 很少遇到针刺伤 像这个是留置针头 它最好的一点是 扎完针把针芯抽出来 会有一个小帽子 把针的尖端包住,其他,50,275,18857,38.22,10.67,119,8,33,,0.63,0.18,C,,FALSE,TRUE,,,否,
230,抖音官号,2025-06-07,17:05,护士长,护士长为了护士把病人,口播,护士长为了护士把病人骂了 大家见过吗 今天呀 我们科室新收了一个 60多岁的病人 我说实话 没见过这么爱按铃的病人,B_数字冲击,57,327,13227,36.0,11.5,141,28,30,,1.07,0.23,C,,FALSE,TRUE,,,否,
231,抖音官号,2025-06-09,18:25,权益加班,"护士2,000块钱一",口播,"护士2,000块钱一个夜班 今天到底有多忙 我们两个护士 28个病人 看我们摆了这么多的液体 我来德国快8年",其他,46,234,17982,38.18,16.66,129,9,18,,0.72,0.1,C,P7,FALSE,TRUE,,,否,
232,抖音官号,2025-06-10,18:17,夜班,外行人都说学习不好才,口播,外行人都说 学习不好才当护士 现实却是 好点的医院招护士 至少本科学历起步 一个名额百十个人抢着面试,C_共情痛点,59,296,10337,40.54,9.78,90,6,18,,0.87,0.17,C,P11,FALSE,TRUE,,,否,
233,抖音官号,2025-06-11,18:02,工资收入,大家知道吗现在国内正,口播,大家知道吗 现在国内正在全面推广 无陪护住院模式 意思就是 以后家属不能在医院陪床了 病人呀从入院到出院,其他,95,479,16383,39.51,3.84,155,56,40,,0.95,0.24,C,,FALSE,TRUE,,,否,
234,抖音官号,2025-06-12,17:43,休假病假,全科室一起请假只剩两,口播,全科室一起请假 只剩两个护士 我们护士长直接原地爆炸 我在德国心内科 最多收28个病人 固定护士有21个,D_冲突事件,67,357,16104,49.79,13.62,141,19,28,,0.88,0.17,C,P11,FALSE,TRUE,,,否,
235,抖音官号,2025-06-13,16:26,其他,无陪护是好事但不能靠,口播,无陪护是好事 但不能靠压榨护士来实现 8年德国护士 聊聊 无陪护住院模式的优缺点 听起来啊 挺先进的,其他,78,372,5930,39.77,4.67,61,6,8,,1.03,0.13,D,P22,FALSE,TRUE,,,否,
236,抖音官号,2025-06-15,16:23,休假病假,病假,口播,德国护士请假 真的真的很容易 但是呢一直没有机会 就是给大家展示 在这边请假的一个流程 刚好下个月因为要去拔智齿,D_冲突事件,47,271,16207,37.88,15.86,105,5,10,,0.65,0.06,C,P13,FALSE,TRUE,,,否,
237,抖音官号,2025-06-16,18:05,工资收入,小费,口播,噔噔噔噔 我们又发钱啦 好了这次发钱 不是说我们科学分小费啦 是因为我6月份 我是身份证上过生日 我们科室是,其他,79,353,13005,43.68,12.22,116,20,18,,0.89,0.14,C,,FALSE,TRUE,,,否,
238,抖音官号,2025-06-17,18:20,其他,国外医院毒麻药怎么处,口播,国外医院毒麻药怎么处理 在这边毒麻药也是要登记的 今天晚上我有一个病人 他是那个临终关怀的病人 他有那个30毫克的吗啡,B_数字冲击,85,247,32650,52.03,23.64,316,6,6,,0.97,0.02,C,,FALSE,TRUE,,,否,
239,抖音官号,2025-06-18,18:43,夜班,专职夜班,口播,还有最后一个半小时 下夜班啦 我这次一共是上了四个夜班 然后接下来休息5天 我6月份7月份这两个月 一共是有7个夜班,其他,86,449,13831,42.2,11.54,142,14,11,,1.03,0.08,C,,FALSE,TRUE,,,否,
240,抖音官号,2025-06-19,17:27,护士长,我是中专学历的护士在,口播,我是中专学历的护士 在德国工作8年了 现在这个科室 我们的护士长一直在强调 护士的工作一定要被尊重的 如果在上班期间,C_共情痛点,44,239,15535,36.28,8.48,193,21,45,,1.24,0.29,C,"P22,P23",FALSE,TRUE,,,否,
241,抖音官号,2025-06-20,18:33,休假病假,为什么我们中国人对于,口播,为什么我们中国人 对于请假有一种羞耻感 我们发生了什么事情 第一个时间想到的是 我能不能跟同事换个班 而不是说,D_冲突事件,79,468,6056,37.65,9.17,59,7,20,,0.97,0.33,D,,FALSE,TRUE,,,否,
242,抖音官号,2025-06-23,18:29,工资收入,小费,口播,"我们科室上个星期一 有一位老人去世了 他的儿子 今天居然给我们科室 送来了一封感谢信 外加1,000欧的小费",A_反常识,58,290,9866,57.17,6.24,111,9,14,,1.13,0.14,D,P23,FALSE,TRUE,,,否,
243,抖音官号,2025-06-24,18:32,其他,国外医院耗材分享今天,口播,国外医院耗材分享 今天和大家分享一个 我们在临床当中 如何 就是护理男性尿失禁的病人 其实很简单,其他,55,268,416508,54.63,23.2,2566,412,1919,,0.62,0.46,A,,FALSE,TRUE,,,否,
244,抖音官号,2025-06-25,18:18,权益加班,很多人问我对免陪护怎,口播,很多人问我对免陪护怎么看 我就说句实话哈 德国这种无陪护住院制度 早就实行十几二十年了 病人一入院,其他,77,418,8588,43.65,8.91,87,11,18,,1.01,0.21,D,P22,FALSE,TRUE,,,否,
245,抖音官号,2025-06-26,18:21,夜班,专职夜班,口播,和大家说一下 德国专职夜班护士 很多人都不理解 德国这边 怎么会有这么多的人 只想上夜班呢 可能就是以下几个原因,无明确模型,55,319,16198,38.58,14.48,103,10,15,,0.64,0.09,C,,FALSE,TRUE,,,否,
246,抖音官号,2025-06-28,16:28,权益加班,我同事刚休完10天的,口播,我同事刚休完10天的年假 过来上了两天班 护士长又给他放了3天的假 原因是因为 他的加班时长太多了 尤其是这个周末,其他,66,365,11758,50.99,7.47,90,23,11,,0.77,0.09,C,P5,FALSE,TRUE,,,否,
247,抖音官号,2025-06-29,16:35,其他,在德国医院如果病人或,口播,在德国医院 如果病人或者是家属打人 骂人 哪怕呀只是言语上的侮辱 医院也会非常重视的 平时在德国的医院里面,其他,50,264,11685,39.69,5.94,103,4,13,,0.88,0.11,C,,FALSE,TRUE,,,否,
248,抖音官号,2025-06-30,18:10,护士证路径,德国医院是怎样体谅护,口播,德国医院是怎样体谅护士的 我在普通心内科 专人专职 打针抽血是医生的活 出入院登记 这是我们科室秘书的活 写心电图,其他,52,267,18409,42.61,19.97,119,22,70,,0.65,0.38,C,"P20,P26",FALSE,TRUE,,,否,
249,抖音官号,2025-07-01,18:50,中德差异,国外医院怎样预防病人,口播,国外医院怎样预防病人压疮 给大家看一个 我们这边预防压疮的 一个敷料 这个是这样的一个开口 预防脚后跟的压疮,其他,65,271,18108,44.54,9.08,132,17,24,,0.73,0.13,C,,FALSE,TRUE,,,否,
250,抖音官号,2025-07-02,16:35,护士证路径,中国护士证在德国到底,口播,中国护士证 在德国到底有多少隐藏价值 护士证也是丫鬟证吗 我在德国做护士有8年了 在国内中专护理毕业 工作了一小段时间,C_共情痛点,68,344,2073529,62.33,17.27,57020,3942,59266,,2.75,2.86,S,"P14,P20,P22,P23,P25,P27,P28",FALSE,TRUE,,,否,
251,抖音官号,2025-07-03,17:16,夜班,呃小葵你说等你42岁,口播,呃小葵 你说等你42岁再出来 可以不上夜班 你就算是24岁出来 你也不用上夜班呀 在这边你想上夜班就上,B_数字冲击,65,310,7881,42.52,11.47,56,12,15,,0.71,0.19,D,,FALSE,TRUE,,,否,
252,抖音官号,2025-07-05,16:45,夜班,哈喽姐妹们我今天又是,口播,哈喽姐妹们 我今天又是第一个夜班 开始了 这次还是连着上7个夜班 刚加完班 大概9点钟左右的时候 护理部主任,其他,54,324,17375,38.35,12.14,92,6,2,,0.53,0.01,C,,FALSE,TRUE,,,否,
253,抖音官号,2025-07-06,16:45,工资收入,我们在德国上班是如何,口播,我们在德国上班 是如何防止针刺伤的 比如说我们的留置针 然后还有我们的抽血针 这个留置针呢 写着20号大小的,其他,42,136,12827,36.86,13.15,100,11,11,,0.78,0.09,C,,FALSE,TRUE,,,否,
254,抖音官号,2025-07-07,15:32,护士证路径,中国护士9人小组出发,口播,中国护士9人小组出发德国 全部拿到德国医院合同 通过护士工签付得 全程没有中介费 大家从北京 长沙沈阳等5个城市出发,其他,30,163,32097,48.18,10.77,257,33,95,,0.8,0.3,C,,FALSE,TRUE,,,否,
255,抖音官号,2025-07-07,18:08,权益加班,一个科室30张病床3,口播,一个科室30张病床 31个固定护士 这是真的吗 是的我在德国做护士 医院有严格的互换比 夜班 只要科室超过了20张病床,其他,68,340,14751,41.24,11.85,82,7,43,,0.56,0.29,C,"P1,P2,P4,P22",FALSE,TRUE,,,否,
256,抖音官号,2025-07-08,17:40,权益加班,我在德国医院养老院兼,口播,我在德国医院 养老院兼职全职都做过 今天客观的分享一下 德国护士工作的5大好处 一学历不内卷 德国学历不分三六九等,C_共情痛点,57,283,16692,32.9,10.79,122,26,30,,0.73,0.18,C,"P11,P20,P22,P26,P28",FALSE,TRUE,,,否,
257,抖音官号,2025-07-09,18:14,个人故事,来德国8年,口播,德国护士月入两三万 还不知足 不断罢工要求涨薪 来德国8年 光护士罢工就碰到五六次了 原因是德国护士,B_数字冲击,56,254,18133,36.22,11.54,120,6,45,,0.66,0.25,C,P17,FALSE,TRUE,,,否,
258,抖音官号,2025-07-11,12:00,护士证路径,海狸中国护士小组成功,口播,海狸中国护士小组 成功到德国了 这次是9个人的护士小队 学员们落地德国准备过关 在法兰机场 碰到了很多中国人 学员伙伴,其他,43,235,9344,41.08,11.83,90,9,19,,0.96,0.2,D,,FALSE,TRUE,,,否,
259,抖音官号,2025-07-11,18:16,护士长,不知道大家看到吻花臂,口播,不知道大家看到吻花臂 穿鼻钉染红毛的护士 会怎么想呢 在德国医院这都是很常见的 患者不会用异样的眼光看待,其他,61,318,6593,41.66,10.87,49,2,14,,0.74,0.21,D,"P20,P28",FALSE,TRUE,,,否,
260,抖音官号,2025-07-13,12:08,权益加班,"德国护士一个夜班2,",口播,"德国护士一个夜班2,000块 是真实存在的 我们病区有28张病床 今天因为是节假日 所以我们只有18个病人",其他,46,247,198614,39.6,16.69,1137,157,3717,,0.57,1.87,A,"P1,P3",FALSE,TRUE,,,否,
261,抖音官号,2025-07-13,17:30,护士证路径,从我们海里负责的中国,口播,从我们海里负责的中国护士 顺利到达德国 所有手续已经办完 德国端老师 开车送学员们去医院入职 还收到了,其他,33,169,32980,41.37,13.78,203,16,58,,0.62,0.18,C,,FALSE,TRUE,,,否,
262,抖音官号,2025-07-14,16:12,其他,德国病人自己拔管护士,口播,德国病人自己拔管 护士会上什么措施 今天给大家看一个 如果病人他就老是拔针啊 或者狂躁不安 会伤害自己的情况下,其他,46,234,54109,45.31,14.77,220,13,66,,0.41,0.12,B,,FALSE,TRUE,,,否,
263,抖音官号,2025-07-15,17:44,权益加班,催着我下班,口播,德国护士长每天催着我下班 因为她怕一不小心就违法了 我在德国心内科 每天工作7.7个小时 中间休息30分钟 这30分钟,A_反常识,59,306,7234,33.21,11.23,73,11,16,,1.01,0.22,D,"P4,P11,P22",FALSE,TRUE,,,否,
264,抖音官号,2025-07-16,17:36,夜班,99%的德国护士呀都,口播,99%的德国护士呀 都不排斥夜班 我觉得最大的一点原因 就是因为夜班自愿 护士想上就上 不想上可以拒绝夜班,其他,46,241,6721,32.74,11.66,63,5,11,,0.94,0.16,D,"P1,P7",FALSE,TRUE,,,否,
265,抖音官号,2025-07-17,18:18,护士证路径,护士证的隐藏价值,口播,咱们中国护士证的隐藏价值 每年都在稳步提升 第一个就是持续涨薪 我是国内中专学历 来德国做护士8年了 我17年来到德国,C_共情痛点,77,361,10604,35.84,5.47,106,12,27,,1.0,0.25,C,"P21,P22,P23",FALSE,TRUE,,,否,
266,抖音官号,2025-07-18,19:01,休假病假,中专护士来德国8年这,口播,中专护士来德国8年 这里到底有什么吸引我 为什么当年 我想要来德国做护士 哈最简单的一个 不用开会 不用考试,C_共情痛点,42,221,9660,33.92,11.57,108,3,17,,1.12,0.18,D,"P20,P22",FALSE,TRUE,,,否,
267,抖音官号,2025-07-20,17:10,工资收入,小费,口播,"病人家属 给我们科塞了1,000欧的小费 整整1,000欧 真把我都吓到了 这大概是8,300多人民币 我在德国8年了",B_数字冲击,64,319,14100,49.37,10.51,160,14,41,,1.13,0.29,C,P23,FALSE,TRUE,,,否,
268,抖音官号,2025-07-21,17:37,夜班,我在德国做护士我们科,口播,我在德国做护士 我们科有很多 四五十岁的同事 甚至60多岁的同事 像今天跟我搭夜班的同事 他就是63岁了,B_数字冲击,44,211,9422,37.54,14.79,77,3,9,,0.82,0.1,D,P27,FALSE,TRUE,,,否,
269,抖音官号,2025-07-22,18:06,权益加班,假如把我德国同事送去,口播,假如把我德国同事 送去国内当护士 哪个医院敢要嘞 我觉得哈 光是看到这一脑袋红毛 满胳膊的纹身 就得被吓得抖三抖了,其他,59,321,25999,61.22,14.05,196,7,44,,0.75,0.17,C,"P6,P11",FALSE,TRUE,,,否,
270,抖音官号,2025-07-24,17:29,夜班,看一下德国的夜班是怎,口播,看一下 德国的夜班是怎么上的 我带你们上个夜班 主播是特别喜欢上夜班的 因为夜班这个多 事情少 我们是从晚上的8点半,其他,105,543,24319,40.65,17.08,169,11,44,,0.69,0.18,C,,FALSE,TRUE,,,否,
271,抖音官号,2025-07-25,19:05,休假病假,德国护士的幸福指数有,口播,德国护士的幸福指数有多高 普通科室的护士 也能每月赚两三万 不用晋升考职称 不用评比搞科研 不管中专还是本科,C_共情痛点,65,308,16255,34.63,9.65,140,31,65,,0.86,0.4,C,"P11,P21,P22,P23,P27",FALSE,TRUE,,,否,
272,抖音官号,2025-07-28,09:48,权益加班,护士休假自己做不了主,口播,护士休假自己做不了主 还得被护士长逼着 这上哪说理去 烦死了我不想休假的时候 护士长非逼着我休 说什么你这假再不休,其他,57,277,11493,38.88,11.07,106,11,11,,0.92,0.1,C,"P4,P5,P11",FALSE,TRUE,,,否,
273,抖音官号,2025-07-28,17:50,权益加班,国外对护士到底有多人,口播,国外对护士到底有多人性化 还没有毕业的实习护士 每个月也能拿七八千的工资 护士加班都是违法的 医院加病床那更是不可能,A_反常识,60,317,12091,37.78,8.15,109,4,26,,0.9,0.22,C,"P4,P5,P14,P23",FALSE,TRUE,,,否,
274,抖音官号,2025-07-29,14:17,权益加班,强制休息,口播,想在德国996 完全不可能 护士连续工作超过4个小时 就要被强制休息 如果超出规定的工作时长 医院护士双双违法,A_反常识,58,295,12599,40.36,10.47,79,14,22,,0.63,0.17,C,"P4,P7,P11,P22",FALSE,TRUE,,,否,
275,抖音官号,2025-07-30,17:25,工资收入,中国护士在全世界是什,口播,中国护士 在全世界是什么水平 我们科室新来的一个护士 她当着我的面 狠狠炫耀了 以前兼职医院的中国护士长 在我心里,其他,56,307,10331,40.15,15.53,73,6,10,,0.71,0.1,C,"P20,P23,P28",FALSE,TRUE,,,否,
276,抖音官号,2025-07-31,18:01,权益加班,德国对护士的保护到底,口播,德国对护士的保护 到底有多到位 如果不是我在德国医院上班 说出来我都不信 尤其是最后一点 一工资护理学生,其他,66,340,13874,41.05,14.67,124,16,35,,0.89,0.25,C,"P11,P12,P13,P14",FALSE,TRUE,,,否,
277,抖音官号,2025-08-01,18:38,权益加班,中国护士证在德国到底,口播,中国护士证 在德国到底有多少隐藏价值 护士证也是丫鬟证吗 绝大多数护士 都忽略了中国护士证的价值,C_共情痛点,67,351,18546,39.43,10.43,143,10,58,,0.77,0.31,C,"P11,P20,P22,P23",FALSE,TRUE,,,否,
278,抖音官号,2025-08-03,15:45,其他,别人在德国当护士一个,口播,别人在德国当护士 一个月存的钱 能让我震惊800次 每个月 扣除基本的生活成本的话 文文子 如果说我这个月不出去玩,B_数字冲击,51,271,22780,47.14,18.26,149,15,24,,0.65,0.11,C,,FALSE,TRUE,,,否,
279,抖音官号,2025-08-04,18:14,护士证路径,中国护士证对比德国护,口播,中国护士证对比德国护士证 是越来越值钱 我中专护士毕业 来德国已经有8年了 虽然只有中专学历 只有一年工作经验,C_共情痛点,58,286,105674,55.2,22.98,432,39,375,,0.41,0.35,A,"P17,P21,P22",FALSE,TRUE,,,否,
280,抖音官号,2025-08-05,15:42,护士证路径,在德国当护士护工学生,口播,在德国当护士 护工学生工 都穿同样的工作服 没有规定的护士鞋和护士袜 头发染什么颜色没人管 想怎么整就怎么整,其他,33,192,15854,40.4,17.24,254,6,19,,1.6,0.12,C,"P20,P28",FALSE,TRUE,,,否,
281,抖音官号,2025-08-06,19:34,休假病假,病假,口播,德国护士病假不要太离谱了 在这边当护士 病假居然能请一个半月的 而且工资居然还能照发 一分钱都不扣 在德国病假是带薪的,A_反常识,39,199,13872,46.51,11.91,97,10,17,,0.7,0.12,C,,FALSE,TRUE,,,否,
282,抖音官号,2025-08-07,18:22,夜班,国内大专都进不去了医,口播,国内大专都进不去了 医院都招本科了是吧 这边的话 有位姐妈妈来到德国 在这边拿到德国护士证 成为一名新手德国护士之后,其他,39,223,14711,51.33,21.15,83,20,20,,0.56,0.14,C,P22,FALSE,TRUE,,,否,
283,抖音官号,2025-08-08,19:08,休假病假,病假,口播,在德国当护士 今年5月刚休了3个周 这 护士长又开始催我休年假嘞 我在德国做护士8年多了 每周工作38.5个小时,B_数字冲击,54,284,343202,42.78,16.45,1634,96,1931,,0.48,0.56,A,"P4,P11,P12,P23",FALSE,TRUE,,,否,
284,抖音官号,2025-08-10,10:38,护士证路径,海狸未来上海歌德德语,口播,海狸未来 上海歌德德语be专属考场 为期两天的考前培训 和be考试 圆满结束了 我们海狸未来 和上海锦创歌德官方合作,其他,35,183,8813,32.52,4.84,36,4,3,,0.41,0.03,D,,FALSE,TRUE,,,否,
285,抖音官号,2025-08-10,17:45,护士证路径,去德国做护士怎么能多,口播,"去德国做护士怎么能多挣钱 医院和养老院该怎么选 来谈谈我的经验 德国护士从今年4月起 基本工资涨到3,414欧",B_数字冲击,64,324,30368,44.59,19.15,174,7,27,,0.57,0.09,C,"P14,P24",FALSE,TRUE,,,否,
286,抖音官号,2025-08-11,18:32,休假病假,来德国8年多了为什么,口播,来德国8年多了 为什么不回国发展 不是我不想回 而是现实让我回不去 我19岁中专毕业 考下德语 做了护士证认证来到德国,C_共情痛点,62,324,1593829,60.76,26.6,17013,1271,3792,,1.07,0.24,S,"P4,P11,P21,P22,P24",FALSE,TRUE,,,否,
287,抖音官号,2025-08-12,17:59,夜班,在德国医院里护士是人,口播,在德国医院里 护士是人少岗位多 现在德国护士的缺口 已经达到数十万人 医院大量招护士 来做护士的却很少,其他,73,375,22075,52.29,13.33,173,17,40,,0.78,0.18,C,"P20,P21,P22,P27,P28",FALSE,TRUE,,,否,
288,抖音官号,2025-08-13,18:00,休假病假,病假,口播,在德国医院 护士请病假能有多容易 身体不舒服了 直接去找家庭医生开病假 我们只需要给科室打个电话 通知科室我病了,其他,56,297,20462,43.44,14.55,130,23,41,,0.64,0.2,C,"P11,P12,P13",FALSE,TRUE,,,否,
289,抖音官号,2025-08-14,18:24,权益加班,身为护士连休21天再,口播,身为护士 连休21天 再连上7天 这排班什么含金量 谁懂啊带大家看看 我下个月的排班表 一共连休21天 再连上7天,其他,62,317,22032,45.98,13.37,133,10,28,,0.6,0.13,C,"P1,P2,P4",FALSE,TRUE,,,否,
290,抖音官号,2025-08-15,19:13,夜班,中专学历的护士比本科,口播,"中专学历的护士 比本科护士工资多3倍 是种什么体验 今天和我国内的朋友聊天 他是本科护士 工资7,000 我中专学历",C_共情痛点,56,272,21656,42.73,16.74,102,6,28,,0.47,0.13,C,"P14,P15,P22,P23",FALSE,TRUE,,,否,
291,抖音官号,2025-08-18,18:38,休假病假,在德国做护士30天年,口播,在德国做护士 30天年假是标配 少于30天医院很难招到人 我在德国8年多 中国德国护士 在休假上有很大差别,B_数字冲击,59,295,44919,36.32,11.1,227,11,83,,0.51,0.18,C,"P11,P23",FALSE,TRUE,,,否,
292,抖音官号,2025-08-19,18:39,夜班,我在国内是中专护士毕,口播,我在国内是中专护士毕业 用护士证认证德国护士证 已经有8年了 现在想上什么班 上不上夜班都是我自己决定,C_共情痛点,49,246,279920,38.72,14.44,710,27,410,,0.25,0.15,A,"P3,P4,P7,P20,P22,P28",FALSE,TRUE,,,否,
293,抖音官号,2025-08-20,18:17,夜班,专科学历的护士现在想,口播,专科学历的护士 现在想进医院真的是太难了 几乎谈不上竞争力哎 我是国内中专护士毕业的 直接把它认证 成了德国护士证,C_共情痛点,50,271,18250,43.79,17.72,103,8,35,,0.56,0.19,C,P22,FALSE,TRUE,,,否,
294,抖音官号,2025-08-21,18:14,休假病假,我是国内中专护士毕业,口播,"我是国内中专护士毕业 今年是我在德国医院 做护士的第8年 离家6,451公里 德漂8年 很多网友问我 当初",C_共情痛点,79,381,47717,51.21,19.64,395,31,228,,0.83,0.48,C,"P4,P11,P19,P20,P22,P23,P24,P28",FALSE,TRUE,,,否,
295,抖音官号,2025-08-22,18:38,休假病假,病假,口播,德国护士感一场冒 就能请6周带薪病假 在德国做护士 每个人每种病 小到咳嗽感冒 大到住院手术 不能请6周病假,其他,52,257,25742,54.6,23.74,202,12,116,,0.78,0.45,C,P12,FALSE,TRUE,,,否,
296,抖音官号,2025-08-24,10:48,权益加班,我在德国做护士真的不,口播,我在德国做护士 真的不敢擅自加班 因为怕违法 来了德国才知道 很多工作 擅自加班都是违法的 像我,A_反常识,57,283,2145285,58.29,23.42,46481,3303,58106,,2.17,2.71,S,"P1,P5,P9,P11",FALSE,TRUE,,,否,
297,抖音官号,2025-08-25,17:57,工资收入,小费,口播,hello everybody 大家好这里是miya 我又收到了 病人给我们小费的钱了 病人给科室的小费,其他,46,192,55491,52.47,23.96,236,31,89,,0.43,0.16,B,,FALSE,TRUE,,,否,
298,抖音官号,2025-08-26,18:14,中德差异,我在德国做护士然后我,口播,我在德国做护士 然后我在心内科工作 命爱德国 护士差异小课堂开课了 之前不是和大家说 我们没有什么,其他,60,365,19021,47.09,9.97,91,6,15,,0.48,0.08,C,,FALSE,TRUE,,,否,
299,抖音官号,2025-08-27,19:05,权益加班,德国的护士让我不断的,口播,德国的护士 让我不断的长见识 上班可以纹花臂戴首饰 下班可以关机手机 不回护士长的消息 我在德国医院心内科做护士,其他,79,423,27289,52.25,11.65,210,11,74,,0.77,0.27,C,"P2,P4",FALSE,TRUE,,,否,
300,抖音官号,2025-08-29,09:17,休假病假,这一上午收了8个病人,口播,这一上午收了8个病人 在你们科室算什么水平 我们护士长是彻底崩溃了 特别着急的跟我们说 千万别再收了 不然根本忙不过来,B_数字冲击,51,275,58390,58.14,12.51,408,52,176,,0.7,0.3,B,P1,FALSE,TRUE,,,否,
301,抖音官号,2025-08-30,09:35,权益加班,来了德国之后才知道原,口播,来了德国之后才知道 原来咱护士不用活到老 学到老更没有啊 三月一小考 一年一大考 没有 护理部护士长的检查环节,其他,46,247,27158,54.31,13.43,209,15,101,,0.77,0.37,C,,FALSE,TRUE,,,否,
302,抖音官号,2025-08-31,09:48,权益加班,我们科的夜班不是护士,口播,"我们科的夜班 不是护士长排的 是要靠护士去抢的 我们一个夜班10个小时 能赚2,000多块人民币",其他,57,286,1458164,64.01,17.02,11130,2373,37428,,0.76,2.57,S,"P3,P7,P20",FALSE,TRUE,,,否,
303,抖音官号,2025-09-01,19:22,夜班,我在德国普通心内科全,口播,我在德国普通心内科 全日制中专函授大专护士 通过护士换证来到德国 8年多工龄 每月到手2到3个w,C_共情痛点,60,291,46838,38.33,14.61,307,15,180,,0.66,0.38,C,"P1,P4,P20,P22,P28",FALSE,TRUE,,,否,
304,抖音官号,2025-09-03,08:52,权益加班,为什么越来越多护士来,口播,为什么越来越多护士来德国 德国护士到底哪里好 我在德国做护士8年多了 医院养老院兼职全职都做过 今天客观的分享一下,其他,73,366,16457,39.09,11.75,125,5,68,,0.76,0.41,C,"P11,P20,P22,P23,P26,P28",FALSE,TRUE,,,否,
305,抖音官号,2025-09-03,19:09,权益加班,护士抢来的夜班在我们,口播,护士抢来的夜班 在我们科是这样上的 我在心内科 28张病床 夜班至少两个护士 从晚上8:24,其他,63,308,31215,46.63,21.05,246,13,47,,0.79,0.15,C,P1,FALSE,TRUE,,,否,
306,抖音官号,2025-09-04,18:28,休假病假,护士生病了就要休息而,口播,护士生病了就要休息 而且工资还照发 我的话 是在德国的心内科科室工作 我们科一共是28张病床 最多只收28个病人,其他,49,248,12261,35.09,11.01,84,7,16,,0.69,0.13,C,"P1,P11",FALSE,TRUE,,,否,
307,抖音官号,2025-09-05,14:12,权益加班,最近我们护士圈火了跑,口播,最近我们护士圈火了 跑马拉松的故事 就有很多朋友在我的直播间 或者是在我的视频下面留言 说哎呀咪呀,其他,88,583,12731,48.95,8.6,85,8,2,,0.67,0.02,C,,FALSE,TRUE,,,否,
308,抖音官号,2025-09-06,09:28,工资收入,工资,口播,"护士工资到账23,500块 我是中专护士 在德国已经工作了8年多 17年我刚到德国 当时 护士的工资是2,400欧出头",B_数字冲击,61,274,19592,51.0,12.48,150,9,57,,0.77,0.29,C,"P17,P19,P20,P21,P22,P23,P28",FALSE,TRUE,,,否,
309,抖音官号,2025-09-07,09:12,夜班,护士夜班按摩拔罐下厨,口播,护士夜班按摩拔罐下厨做饭 你见过不 我们科同事 直接把按摩床都搬来了 病区有28张病床 因为今天是周末节假日,其他,74,378,17285,44.25,9.55,128,4,15,,0.74,0.09,C,"P1,P7",FALSE,TRUE,,,否,
310,抖音官号,2025-09-08,19:42,权益加班,家人们你敢信吗在德国,口播,家人们你敢信吗 在德国做护士 一不小心就可能违法了 我在德国心内科做护士 病房一共28张病床 只要病人超过20个夜班,A_反常识,79,400,1237251,68.85,23.38,26146,2468,47924,,2.11,3.87,S,"P1,P9,P11,P12",FALSE,TRUE,,,否,
311,抖音官号,2025-09-09,14:43,休假病假,德国邮政护士月入2.,口播,德国邮政护士月入2.5万起 还有30天带薪年假 那为什么德国人却不干呢 我在德国心内科做护士,B_数字冲击,70,339,18080,64.05,28.58,175,3,39,,0.97,0.22,C,P11,FALSE,TRUE,,,否,
312,抖音官号,2025-09-12,08:42,护士证路径,中国护士证在德国能有,口播,中国护士证 在德国能有多大的潜力 护士证会被当成丫鬟证吗 我在德国做护士有8年多了 考下德语 用中国护士证,C_共情痛点,72,362,124430,49.93,16.67,1348,175,1867,,1.08,1.5,A,"P20,P22,P23,P28",FALSE,TRUE,,,否,
